name,datetime,min,max
창동 신경제 중심지,2023-02-06 02:20,14000,16000
영등포 타임스퀘어,2023-02-06 02:20,3000,3500
수유리 먹자골목,2023-02-06 02:20,7500,8000
낙산공원·이화마을,2023-02-06 02:20,200,300
구로디지털단지역,2023-02-06 02:20,5000,5500
선릉역,2023-02-06 02:20,10000,12000
역삼역,2023-02-06 02:20,5500,6000
가산디지털단지역,2023-02-06 02:20,4500,5000
서울역,2023-02-06 02:20,1000,1500
고속터미널역,2023-02-06 02:20,1000,1500
교대역,2023-02-06 02:20,2000,2500
강남역,2023-02-06 02:20,10000,12000
용산역,2023-02-06 02:20,2500,3000
연신내역,2023-02-06 02:20,3000,3500
건대입구역,2023-02-06 02:20,8500,9000
왕십리역,2023-02-06 02:20,4500,5000
신림역,2023-02-06 02:20,8000,8500
신촌·이대역,2023-02-06 02:20,9000,9500
신도림역,2023-02-06 02:20,800,900
국립중앙박물관·용산가족공원,2023-02-06 03:20,300,400
서울숲공원,2023-02-06 03:20,2500,3000
서울대공원,2023-02-06 03:20,500,600
이촌한강공원,2023-02-06 03:20,1000,1500
창덕궁·종묘,2023-02-06 03:20,2000,2500
월드컵공원,2023-02-06 03:20,1500,2000
남산공원,2023-02-06 03:20,4000,4500
경복궁·서촌마을,2023-02-06 03:20,4000,4500
잠실종합운동장,2023-02-06 03:20,1000,1500
광화문·덕수궁,2023-02-06 03:20,2500,3000
반포한강공원,2023-02-06 03:20,500,600
뚝섬한강공원,2023-02-06 03:20,1000,1500
잠실한강공원,2023-02-06 03:20,1000,1500
망원한강공원,2023-02-06 03:20,600,700
북서울꿈의숲,2023-02-06 03:20,3500,4000
이태원 관광특구,2023-02-06 03:20,2500,3000
강남 MICE 관광특구,2023-02-06 03:20,600,700
동대문 관광특구,2023-02-06 03:20,14000,16000
종로·청계 관광특구,2023-02-06 03:20,4000,4500
잠실 관광특구,2023-02-06 03:20,12000,14000
홍대 관광특구,2023-02-06 03:20,18000,20000
여의도,2023-02-06 03:20,16000,18000
북촌한옥마을,2023-02-06 03:20,500,600
가로수길,2023-02-06 03:20,5500,6000
성수카페거리,2023-02-06 03:20,1000,1500
DMC(디지털미디어시티),2023-02-06 03:20,4500,5000
인사동·익선동,2023-02-06 03:20,3500,4000
명동 관광특구,2023-02-06 03:20,3000,3500
압구정로데오거리,2023-02-06 03:20,3000,3500
쌍문동 맛집거리,2023-02-06 03:20,1500,2000
노량진,2023-02-06 03:20,5500,6000
수유리 먹자골목,2023-02-06 03:20,7500,8000
영등포 타임스퀘어,2023-02-06 03:20,3000,3500
창동 신경제 중심지,2023-02-06 03:20,14000,16000
낙산공원·이화마을,2023-02-06 03:20,200,300
구로디지털단지역,2023-02-06 03:20,4500,5000
선릉역,2023-02-06 03:20,10000,12000
역삼역,2023-02-06 03:20,5000,5500
서울역,2023-02-06 03:20,1000,1500
가산디지털단지역,2023-02-06 03:20,4500,5000
고속터미널역,2023-02-06 03:20,1000,1500
교대역,2023-02-06 03:20,1500,2000
강남역,2023-02-06 03:20,9500,10000
용산역,2023-02-06 03:20,2500,3000
연신내역,2023-02-06 03:20,3000,3500
왕십리역,2023-02-06 03:20,4000,4500
신림역,2023-02-06 03:20,7500,8000
신도림역,2023-02-06 03:20,1000,1500
신촌·이대역,2023-02-06 03:20,8500,9000
건대입구역,2023-02-06 03:20,8500,9000
국립중앙박물관·용산가족공원,2023-02-06 04:20,300,400
서울숲공원,2023-02-06 04:20,2500,3000
서울대공원,2023-02-06 04:20,500,600
창덕궁·종묘,2023-02-06 04:20,2000,2500
이촌한강공원,2023-02-06 04:20,1000,1500
경복궁·서촌마을,2023-02-06 04:20,4000,4500
남산공원,2023-02-06 04:20,4500,5000
월드컵공원,2023-02-06 04:20,1500,2000
잠실종합운동장,2023-02-06 04:20,1000,1500
광화문·덕수궁,2023-02-06 04:20,2500,3000
반포한강공원,2023-02-06 04:20,600,700
잠실한강공원,2023-02-06 04:20,1000,1500
뚝섬한강공원,2023-02-06 04:20,1000,1500
망원한강공원,2023-02-06 04:20,600,700
북서울꿈의숲,2023-02-06 04:20,3500,4000
이태원 관광특구,2023-02-06 04:20,2500,3000
강남 MICE 관광특구,2023-02-06 04:20,500,600
종로·청계 관광특구,2023-02-06 04:20,4000,4500
잠실 관광특구,2023-02-06 04:20,10000,12000
동대문 관광특구,2023-02-06 04:20,12000,14000
홍대 관광특구,2023-02-06 04:20,18000,20000
북촌한옥마을,2023-02-06 04:20,400,500
성수카페거리,2023-02-06 04:20,1000,1500
여의도,2023-02-06 04:20,16000,18000
DMC(디지털미디어시티),2023-02-06 04:20,4500,5000
명동 관광특구,2023-02-06 04:20,3000,3500
가로수길,2023-02-06 04:20,5500,6000
압구정로데오거리,2023-02-06 04:20,3000,3500
인사동·익선동,2023-02-06 04:20,3500,4000
노량진,2023-02-06 04:20,5000,5500
쌍문동 맛집거리,2023-02-06 04:20,1500,2000
창동 신경제 중심지,2023-02-06 04:20,12000,14000
영등포 타임스퀘어,2023-02-06 04:20,2500,3000
수유리 먹자골목,2023-02-06 04:20,6500,7000
낙산공원·이화마을,2023-02-06 04:20,200,300
구로디지털단지역,2023-02-06 04:20,4500,5000
선릉역,2023-02-06 04:20,9500,10000
역삼역,2023-02-06 04:20,5000,5500
가산디지털단지역,2023-02-06 04:20,4500,5000
서울역,2023-02-06 04:20,1000,1500
고속터미널역,2023-02-06 04:20,1000,1500
강남역,2023-02-06 04:20,9500,10000
교대역,2023-02-06 04:20,1500,2000
용산역,2023-02-06 04:20,2500,3000
연신내역,2023-02-06 04:20,2500,3000
왕십리역,2023-02-06 04:20,4000,4500
신도림역,2023-02-06 04:20,1000,1500
신림역,2023-02-06 04:20,6000,6500
신촌·이대역,2023-02-06 04:20,8000,8500
건대입구역,2023-02-06 04:20,8500,9000
국립중앙박물관·용산가족공원,2023-02-06 05:20,300,400
서울숲공원,2023-02-06 05:20,3000,3500
서울대공원,2023-02-06 05:20,600,700
창덕궁·종묘,2023-02-06 05:20,2500,3000
이촌한강공원,2023-02-06 05:20,1500,2000
경복궁·서촌마을,2023-02-06 05:20,4000,4500
남산공원,2023-02-06 05:20,4000,4500
잠실종합운동장,2023-02-06 05:20,1500,2000
월드컵공원,2023-02-06 05:20,2000,2500
광화문·덕수궁,2023-02-06 05:20,3000,3500
반포한강공원,2023-02-06 05:20,900,1000
뚝섬한강공원,2023-02-06 05:20,1000,1500
잠실한강공원,2023-02-06 05:20,1500,2000
망원한강공원,2023-02-06 05:20,700,800
북서울꿈의숲,2023-02-06 05:20,3500,4000
이태원 관광특구,2023-02-06 05:20,2500,3000
강남 MICE 관광특구,2023-02-06 05:20,800,900
동대문 관광특구,2023-02-06 05:20,10000,12000
잠실 관광특구,2023-02-06 05:20,10000,12000
종로·청계 관광특구,2023-02-06 05:20,4500,5000
홍대 관광특구,2023-02-06 05:20,16000,18000
북촌한옥마을,2023-02-06 05:20,400,500
여의도,2023-02-06 05:20,18000,20000
성수카페거리,2023-02-06 05:20,1000,1500
명동 관광특구,2023-02-06 05:20,4000,4500
DMC(디지털미디어시티),2023-02-06 05:20,4500,5000
가로수길,2023-02-06 05:20,5500,6000
압구정로데오거리,2023-02-06 05:20,3000,3500
창동 신경제 중심지,2023-02-06 05:20,12000,14000
노량진,2023-02-06 05:20,5500,6000
쌍문동 맛집거리,2023-02-06 05:20,1500,2000
인사동·익선동,2023-02-06 05:20,4000,4500
영등포 타임스퀘어,2023-02-06 05:20,3000,3500
수유리 먹자골목,2023-02-06 05:20,6500,7000
낙산공원·이화마을,2023-02-06 05:20,200,300
구로디지털단지역,2023-02-06 05:20,4500,5000
선릉역,2023-02-06 05:20,9500,10000
역삼역,2023-02-06 05:20,5000,5500
가산디지털단지역,2023-02-06 05:20,5500,6000
서울역,2023-02-06 05:20,1000,1500
고속터미널역,2023-02-06 05:20,1500,2000
용산역,2023-02-06 05:20,3000,3500
교대역,2023-02-06 05:20,2000,2500
강남역,2023-02-06 05:20,9500,10000
연신내역,2023-02-06 05:20,2500,3000
신도림역,2023-02-06 05:20,1000,1500
건대입구역,2023-02-06 05:20,8000,8500
왕십리역,2023-02-06 05:20,4000,4500
신림역,2023-02-06 05:20,6000,6500
신촌·이대역,2023-02-06 05:20,8000,8500
국립중앙박물관·용산가족공원,2023-02-06 06:20,400,500
서울숲공원,2023-02-06 06:20,4000,4500
서울대공원,2023-02-06 06:20,800,900
창덕궁·종묘,2023-02-06 06:20,3000,3500
이촌한강공원,2023-02-06 06:20,2000,2500
경복궁·서촌마을,2023-02-06 06:20,4000,4500
남산공원,2023-02-06 06:20,5000,5500
잠실종합운동장,2023-02-06 06:20,2000,2500
월드컵공원,2023-02-06 06:20,3000,3500
광화문·덕수궁,2023-02-06 06:20,4000,4500
반포한강공원,2023-02-06 06:20,1500,2000
뚝섬한강공원,2023-02-06 06:20,1500,2000
잠실한강공원,2023-02-06 06:20,2000,2500
북서울꿈의숲,2023-02-06 06:20,3500,4000
망원한강공원,2023-02-06 06:20,1000,1500
이태원 관광특구,2023-02-06 06:20,2500,3000
강남 MICE 관광특구,2023-02-06 06:20,1000,1500
종로·청계 관광특구,2023-02-06 06:20,5500,6000
잠실 관광특구,2023-02-06 06:20,12000,14000
동대문 관광특구,2023-02-06 06:20,10000,12000
홍대 관광특구,2023-02-06 06:20,16000,18000
북촌한옥마을,2023-02-06 06:20,500,600
여의도,2023-02-06 06:20,22000,24000
성수카페거리,2023-02-06 06:20,1500,2000
가로수길,2023-02-06 06:20,6500,7000
명동 관광특구,2023-02-06 06:20,6000,6500
DMC(디지털미디어시티),2023-02-06 06:20,6000,6500
압구정로데오거리,2023-02-06 06:20,3500,4000
쌍문동 맛집거리,2023-02-06 06:20,2000,2500
인사동·익선동,2023-02-06 06:20,4500,5000
노량진,2023-02-06 06:20,7000,7500
창동 신경제 중심지,2023-02-06 06:20,14000,16000
영등포 타임스퀘어,2023-02-06 06:20,3500,4000
수유리 먹자골목,2023-02-06 06:20,7000,7500
낙산공원·이화마을,2023-02-06 06:20,200,300
구로디지털단지역,2023-02-06 06:20,5000,5500
선릉역,2023-02-06 06:20,12000,14000
역삼역,2023-02-06 06:20,6500,7000
가산디지털단지역,2023-02-06 06:20,7000,7500
서울역,2023-02-06 06:20,2000,2500
고속터미널역,2023-02-06 06:20,3000,3500
교대역,2023-02-06 06:20,2500,3000
강남역,2023-02-06 06:20,12000,14000
용산역,2023-02-06 06:20,4000,4500
연신내역,2023-02-06 06:20,3500,4000
왕십리역,2023-02-06 06:20,4500,5000
신림역,2023-02-06 06:20,7000,7500
건대입구역,2023-02-06 06:20,8500,9000
신촌·이대역,2023-02-06 06:20,8500,9000
신도림역,2023-02-06 06:20,2000,2500
국립중앙박물관·용산가족공원,2023-02-06 07:20,600,700
서울숲공원,2023-02-06 07:20,6000,6500
서울대공원,2023-02-06 07:20,1000,1500
창덕궁·종묘,2023-02-06 07:20,4500,5000
이촌한강공원,2023-02-06 07:20,3000,3500
경복궁·서촌마을,2023-02-06 07:20,5000,5500
남산공원,2023-02-06 07:20,8500,9000
월드컵공원,2023-02-06 07:20,4000,4500
잠실종합운동장,2023-02-06 07:20,3000,3500
광화문·덕수궁,2023-02-06 07:20,9000,9500
반포한강공원,2023-02-06 07:20,2000,2500
잠실한강공원,2023-02-06 07:20,3000,3500
뚝섬한강공원,2023-02-06 07:20,2000,2500
북서울꿈의숲,2023-02-06 07:20,3500,4000
망원한강공원,2023-02-06 07:20,1000,1500
이태원 관광특구,2023-02-06 07:20,3500,4000
강남 MICE 관광특구,2023-02-06 07:20,2500,3000
종로·청계 관광특구,2023-02-06 07:20,10000,12000
동대문 관광특구,2023-02-06 07:20,12000,14000
잠실 관광특구,2023-02-06 07:20,16000,18000
홍대 관광특구,2023-02-06 07:20,20000,22000
북촌한옥마을,2023-02-06 07:20,500,600
여의도,2023-02-06 07:20,38000,40000
성수카페거리,2023-02-06 07:20,3000,3500
명동 관광특구,2023-02-06 07:20,12000,14000
DMC(디지털미디어시티),2023-02-06 07:20,9000,9500
가로수길,2023-02-06 07:20,8500,9000
압구정로데오거리,2023-02-06 07:20,5000,5500
인사동·익선동,2023-02-06 07:20,7000,7500
쌍문동 맛집거리,2023-02-06 07:20,3000,3500
노량진,2023-02-06 07:20,10000,12000
창동 신경제 중심지,2023-02-06 07:20,18000,20000
영등포 타임스퀘어,2023-02-06 07:20,6000,6500
낙산공원·이화마을,2023-02-06 07:20,200,300
수유리 먹자골목,2023-02-06 07:20,7500,8000
구로디지털단지역,2023-02-06 07:20,7500,8000
선릉역,2023-02-06 07:20,16000,18000
역삼역,2023-02-06 07:20,9500,10000
서울역,2023-02-06 07:20,4500,5000
가산디지털단지역,2023-02-06 07:20,14000,16000
고속터미널역,2023-02-06 07:20,5000,5500
교대역,2023-02-06 07:20,4500,5000
강남역,2023-02-06 07:20,20000,22000
용산역,2023-02-06 07:20,5500,6000
연신내역,2023-02-06 07:20,4500,5000
왕십리역,2023-02-06 07:20,5500,6000
건대입구역,2023-02-06 07:20,9500,10000
신도림역,2023-02-06 07:20,4500,5000
신촌·이대역,2023-02-06 07:20,10000,12000
신림역,2023-02-06 07:20,9000,9500
국립중앙박물관·용산가족공원,2023-02-06 08:20,700,800
서울숲공원,2023-02-06 08:20,8500,9000
창덕궁·종묘,2023-02-06 08:20,9000,9500
서울대공원,2023-02-06 08:20,1000,1500
이촌한강공원,2023-02-06 08:20,4500,5000
경복궁·서촌마을,2023-02-06 08:20,7000,7500
월드컵공원,2023-02-06 08:20,4500,5000
남산공원,2023-02-06 08:20,12000,14000
잠실종합운동장,2023-02-06 08:20,3500,4000
광화문·덕수궁,2023-02-06 08:20,18000,20000
잠실한강공원,2023-02-06 08:20,3500,4000
반포한강공원,2023-02-06 08:20,2500,3000
뚝섬한강공원,2023-02-06 08:20,3500,4000
망원한강공원,2023-02-06 08:20,1000,1500
북서울꿈의숲,2023-02-06 08:20,3000,3500
이태원 관광특구,2023-02-06 08:20,5000,5500
강남 MICE 관광특구,2023-02-06 08:20,6500,7000
잠실 관광특구,2023-02-06 08:20,26000,28000
동대문 관광특구,2023-02-06 08:20,20000,22000
종로·청계 관광특구,2023-02-06 08:20,18000,20000
홍대 관광특구,2023-02-06 08:20,30000,32000
명동 관광특구,2023-02-06 08:20,30000,32000
북촌한옥마을,2023-02-06 08:20,700,800
여의도,2023-02-06 08:20,82000,84000
성수카페거리,2023-02-06 08:20,7500,8000
DMC(디지털미디어시티),2023-02-06 08:20,16000,18000
인사동·익선동,2023-02-06 08:20,12000,14000
가로수길,2023-02-06 08:20,12000,14000
압구정로데오거리,2023-02-06 08:20,9000,9500
창동 신경제 중심지,2023-02-06 08:20,22000,24000
쌍문동 맛집거리,2023-02-06 08:20,3500,4000
노량진,2023-02-06 08:20,16000,18000
영등포 타임스퀘어,2023-02-06 08:20,10000,12000
수유리 먹자골목,2023-02-06 08:20,8500,9000
낙산공원·이화마을,2023-02-06 08:20,200,300
구로디지털단지역,2023-02-06 08:20,18000,20000
선릉역,2023-02-06 08:20,34000,36000
역삼역,2023-02-06 08:20,20000,22000
가산디지털단지역,2023-02-06 08:20,28000,30000
서울역,2023-02-06 08:20,10000,12000
고속터미널역,2023-02-06 08:20,9500,10000
교대역,2023-02-06 08:20,10000,12000
강남역,2023-02-06 08:20,36000,38000
용산역,2023-02-06 08:20,12000,14000
연신내역,2023-02-06 08:20,6000,6500
왕십리역,2023-02-06 08:20,8000,8500
신림역,2023-02-06 08:20,12000,14000
건대입구역,2023-02-06 08:20,14000,16000
신도림역,2023-02-06 08:20,10000,12000
신촌·이대역,2023-02-06 08:20,14000,16000
국립중앙박물관·용산가족공원,2023-02-06 09:20,700,800
서울숲공원,2023-02-06 09:20,9500,10000
서울대공원,2023-02-06 09:20,1000,1500
창덕궁·종묘,2023-02-06 09:20,10000,12000
이촌한강공원,2023-02-06 09:20,3000,3500
경복궁·서촌마을,2023-02-06 09:20,8500,9000
남산공원,2023-02-06 09:20,12000,14000
월드컵공원,2023-02-06 09:20,4000,4500
잠실종합운동장,2023-02-06 09:20,3000,3500
광화문·덕수궁,2023-02-06 09:20,28000,30000
반포한강공원,2023-02-06 09:20,2000,2500
잠실한강공원,2023-02-06 09:20,3000,3500
뚝섬한강공원,2023-02-06 09:20,2500,3000
망원한강공원,2023-02-06 09:20,1000,1500
북서울꿈의숲,2023-02-06 09:20,3000,3500
이태원 관광특구,2023-02-06 09:20,6500,7000
강남 MICE 관광특구,2023-02-06 09:20,12000,14000
종로·청계 관광특구,2023-02-06 09:20,24000,26000
동대문 관광특구,2023-02-06 09:20,20000,22000
잠실 관광특구,2023-02-06 09:20,34000,36000
홍대 관광특구,2023-02-06 09:20,36000,38000
북촌한옥마을,2023-02-06 09:20,800,900
여의도,2023-02-06 09:20,120000,125000
성수카페거리,2023-02-06 09:20,10000,12000
명동 관광특구,2023-02-06 09:20,46000,48000
DMC(디지털미디어시티),2023-02-06 09:20,22000,24000
가로수길,2023-02-06 09:20,18000,20000
압구정로데오거리,2023-02-06 09:20,14000,16000
인사동·익선동,2023-02-06 09:20,14000,16000
노량진,2023-02-06 09:20,14000,16000
쌍문동 맛집거리,2023-02-06 09:20,3000,3500
창동 신경제 중심지,2023-02-06 09:20,22000,24000
영등포 타임스퀘어,2023-02-06 09:20,9000,9500
수유리 먹자골목,2023-02-06 09:20,9000,9500
낙산공원·이화마을,2023-02-06 09:20,200,300
구로디지털단지역,2023-02-06 09:20,32000,34000
선릉역,2023-02-06 09:20,48000,50000
역삼역,2023-02-06 09:20,30000,32000
가산디지털단지역,2023-02-06 09:20,40000,42000
고속터미널역,2023-02-06 09:20,9500,10000
서울역,2023-02-06 09:20,18000,20000
교대역,2023-02-06 09:20,12000,14000
강남역,2023-02-06 09:20,52000,54000
용산역,2023-02-06 09:20,12000,14000
연신내역,2023-02-06 09:20,5500,6000
왕십리역,2023-02-06 09:20,7500,8000
신도림역,2023-02-06 09:20,5000,5500
신촌·이대역,2023-02-06 09:20,14000,16000
건대입구역,2023-02-06 09:20,12000,14000
신림역,2023-02-06 09:20,10000,12000
국립중앙박물관·용산가족공원,2023-02-06 10:20,900,1000
서울숲공원,2023-02-06 10:20,10000,12000
서울대공원,2023-02-06 10:20,1500,2000
창덕궁·종묘,2023-02-06 10:20,12000,14000
이촌한강공원,2023-02-06 10:20,3000,3500
경복궁·서촌마을,2023-02-06 10:20,9000,9500
잠실종합운동장,2023-02-06 10:20,3000,3500
월드컵공원,2023-02-06 10:20,4500,5000
남산공원,2023-02-06 10:20,14000,16000
광화문·덕수궁,2023-02-06 10:20,28000,30000
반포한강공원,2023-02-06 10:20,2000,2500
잠실한강공원,2023-02-06 10:20,3000,3500
뚝섬한강공원,2023-02-06 10:20,2500,3000
망원한강공원,2023-02-06 10:20,1000,1500
북서울꿈의숲,2023-02-06 10:20,3000,3500
이태원 관광특구,2023-02-06 10:20,7500,8000
강남 MICE 관광특구,2023-02-06 10:20,14000,16000
잠실 관광특구,2023-02-06 10:20,40000,42000
동대문 관광특구,2023-02-06 10:20,20000,22000
종로·청계 관광특구,2023-02-06 10:20,26000,28000
홍대 관광특구,2023-02-06 10:20,40000,42000
북촌한옥마을,2023-02-06 10:20,900,1000
여의도,2023-02-06 10:20,125000,130000
성수카페거리,2023-02-06 10:20,9500,10000
DMC(디지털미디어시티),2023-02-06 10:20,26000,28000
명동 관광특구,2023-02-06 10:20,52000,54000
가로수길,2023-02-06 10:20,24000,26000
압구정로데오거리,2023-02-06 10:20,18000,20000
영등포 타임스퀘어,2023-02-06 10:20,10000,12000
노량진,2023-02-06 10:20,12000,14000
인사동·익선동,2023-02-06 10:20,18000,20000
창동 신경제 중심지,2023-02-06 10:20,24000,26000
쌍문동 맛집거리,2023-02-06 10:20,2500,3000
낙산공원·이화마을,2023-02-06 10:20,100,200
수유리 먹자골목,2023-02-06 10:20,9500,10000
선릉역,2023-02-06 10:20,54000,56000
구로디지털단지역,2023-02-06 10:20,36000,38000
가산디지털단지역,2023-02-06 10:20,42000,44000
역삼역,2023-02-06 10:20,36000,38000
서울역,2023-02-06 10:20,20000,22000
고속터미널역,2023-02-06 10:20,10000,12000
강남역,2023-02-06 10:20,62000,64000
용산역,2023-02-06 10:20,12000,14000
교대역,2023-02-06 10:20,14000,16000
연신내역,2023-02-06 10:20,5500,6000
왕십리역,2023-02-06 10:20,7500,8000
건대입구역,2023-02-06 10:20,12000,14000
신림역,2023-02-06 10:20,8500,9000
신도림역,2023-02-06 10:20,3000,3500
신촌·이대역,2023-02-06 10:20,14000,16000
국립중앙박물관·용산가족공원,2023-02-06 11:20,900,1000
서울숲공원,2023-02-06 11:20,10000,12000
창덕궁·종묘,2023-02-06 11:20,12000,14000
서울대공원,2023-02-06 11:20,2000,2500
이촌한강공원,2023-02-06 11:20,2500,3000
남산공원,2023-02-06 11:20,14000,16000
경복궁·서촌마을,2023-02-06 11:20,10000,12000
월드컵공원,2023-02-06 11:20,4500,5000
잠실종합운동장,2023-02-06 11:20,2000,2500
광화문·덕수궁,2023-02-06 11:20,32000,34000
반포한강공원,2023-02-06 11:20,1500,2000
뚝섬한강공원,2023-02-06 11:20,2000,2500
잠실한강공원,2023-02-06 11:20,2000,2500
망원한강공원,2023-02-06 11:20,900,1000
